UserID,Age(bin),YearsExp(bin),Trans_Domain,Trans_Gender,Trans_University,Trans_UOC_Position,Trans_PhD,Trans_Other_Position,Trans_Use_wiki,Easy for stu to develop new skills,Improves stu's learning,Useful for teaching 2,user friendly,easy to find info,easy to add or edit info,stimulates curiosity,entertaining,reliable,Info updated,comprehensice,lower quality 2,trust in editing system,improves visibility of stu's work,easy to have records,cite wiki,well considered among colleagues,sharing open edu resource is appreciated,colleagues use wiki,important to share in open platform,important to publish other than book,important to be familiar with open platform,use wiki to develop teaching material,use wiki develop edu activities with stu,recommend stu to use wiki,recommend colleague,agree stu use wiki,contribute to blogs,actively participate in social networks 2,publish academic content in open platform 2,promotes use of open collavorative environment,consider as teaching merits,future recommend to stu and colleague,future will use in teaching,Inc1-best parctices guide,Inc2-instruction form a colleague,Inc3-specific training 2,Inc4-greater institutional recognition 2,Exp1-consult academic in own area,Exp2-consult other academic issues 2,Exp3-consult personal issues,Exp4-contribute to wiki 2,Exp5-use wiki to work with stu 2
U1,30~40,10~20,Sciences,Male,UOC,Associate,PhD,Unknown,No,High,High,Mid,High,High,Mid,High,High,Mid,Mid,Low,Low,Mid,Mid,Mid,Low,Low,High,Low,High,High,High,Mid,Low,Low,Low,High,Low,Low,Mid,High,Low,Low,Mid,High,High,High,High,High,High,High,Low,Low
U2,40~50,10~20,Law & Politics,Male,UOC,Associate,PhD,Unknown,No,Low,Mid,Mid,High,High,Mid,Mid,High,High,High,Mid,Mid,Low,Mid,Mid,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Mid,Low,Low,High,High,Mid,High,Low,Low,High,Low,High
U3,30~40,10~20,Engineering & Architecture,Male,UOC,Assistant,PhD,Unknown,No,Low,Low,Low,High,High,Mid,Mid,Mid,Low,Low,Low,High,Mid,Low,Mid,Low,Low,High,Mid,High,Low,High,Low,Low,Low,Low,Low,Mid,Mid,Mid,High,Mid,Low,Low,High,Mid,High,High,Low,Low,Low,Low,Mid
U4,30~40,10~20,Engineering & Architecture,Male,UOC,Assistant,Non-PhD,Unknown,No,Mid,Mid,High,Mid,Mid,Mid,High,Mid,Mid,High,Mid,Mid,Mid,Mid,High,Mid,Low,Low,Mid,High,High,High,Mid,Mid,Mid,Mid,Mid,High,High,High,High,High,Mid,Mid,Mid,High,High,Mid,High,High,Mid,Mid,High
U5,50~60,0~10,Unknown,Male,UOC,Assistant,Non-PhD,Unknown,Yes,High,Mid,High,High,High,Mid,High,High,High,High,High,Mid,High,High,High,High,Mid,Low,Mid,High,High,High,Mid,Mid,High,High,High,High,High,High,Mid,Mid,High,High,High,High,High,High,High,High,High,High,High
U6,40~50,10~20,Engineering & Architecture,Male,UOC,Assistant,Non-PhD,Unknown,No,Low,Low,Mid,High,High,Mid,Mid,Mid,Mid,Mid,Mid,High,High,Mid,High,High,Mid,High,Mid,High,High,High,Low,Low,Mid,Low,High,High,Mid,Low,High,Low,High,High,High,Mid,Low,High,High,Mid,High,Low,High
U7,40~50,10~20,Engineering & Architecture,Male,UOC,Assistant,Non-PhD,Unknown,No,High,High,High,High,N/A,High,High,High,High,High,High,Low,High,High,High,High,Mid,High,Mid,High,High,High,Mid,High,High,Mid,High,High,Mid,Mid,High,High,Mid,High,High,High,High,Low,High,High,High,Low,Low
U8,50~60,10~20,Unknown,Male,UOC,Assistant,Non-PhD,Unknown,No,High,High,High,High,Mid,High,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Mid,High,High,High,High,High,High,High,Low,Low,Mid,Mid,High,High,Mid,High,High,High,Mid,High,Mid,Mid,Mid,Mid,High,High,Mid,Low,High
U9,50~60,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,High,High,High,High,High,Low,High,Mid,High,Mid,High,Mid,Mid,Mid,High,High,High,Low,Low,High,High,High,Low,Low,Mid,Mid,Low,High,Mid,High,High,High,Low,High,High,High,Low,Low
U10,40~50,20~30,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,N/A,High,High,High,High,High,Low,Mid,Mid,N/A,Mid,Mid,High,Mid,High,High,High,High,Low,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low
